dateTime,F2470,059793,modelfile_1hr_classified,modelfile_4hr_classified,modelfile_8hr_classified,modelfile_24hr_classified
2024-10-16 16:30:00+00:00,0.856,0.0,0.896445631980896,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 16:45:00+00:00,0.857,0.0,0.896445631980896,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 17:00:00+00:00,0.858,0.0,0.896445631980896,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 17:15:00+00:00,0.859,0.0,0.896445631980896,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 17:30:00+00:00,0.86,0.0,0.896445631980896,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 17:45:00+00:00,0.86,0.0,0.896445631980896,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 18:00:00+00:00,0.861,0.0,0.896445631980896,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 18:15:00+00:00,0.862,0.0,0.896445631980896,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 18:30:00+00:00,0.862,0.0,0.896445631980896,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 18:45:00+00:00,0.863,0.0,0.896445631980896,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 19:00:00+00:00,0.864,0.0,0.896445631980896,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 19:15:00+00:00,0.864,0.2,0.8982537388801575,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 19:30:00+00:00,0.864,0.0,0.8999592661857605,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 19:45:00+00:00,0.865,0.0,0.9007596373558044,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 20:00:00+00:00,0.866,0.0,0.9020183086395264,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 20:15:00+00:00,0.867,0.0,0.9033428430557251,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 20:30:00+00:00,0.867,0.0,0.911352813243866,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 20:45:00+00:00,0.868,0.0,0.9085128307342529,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 21:00:00+00:00,0.869,0.0,0.9082251191139221,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 21:15:00+00:00,0.87,0.0,0.9092124700546265,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 21:30:00+00:00,0.87,0.0,0.9101213216781616,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 21:45:00+00:00,0.871,0.0,0.9130142331123352,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 22:00:00+00:00,0.872,0.0,0.9096820950508118,0.9407753944396973,1.063725471496582,1.063897967338562
2024-10-16 22:15:00+00:00,0.873,0.0,0.910808801651001,0.9439637660980225,1.063725471496582,1.063897967338562
2024-10-16 22:30:00+00:00,0.874,0.0,0.9119024276733398,0.9473960399627686,1.063725471496582,1.063897967338562
2024-10-16 22:45:00+00:00,0.875,0.0,0.9123880863189697,0.9496364593505859,1.063725471496582,1.063897967338562
2024-10-16 23:00:00+00:00,0.876,0.0,0.9129053354263306,0.9525104761123657,1.063725471496582,1.063897967338562
2024-10-16 23:15:00+00:00,0.877,0.0,0.9140544533729553,0.9546945691108704,1.063725471496582,1.063897967338562
2024-10-16 23:30:00+00:00,0.878,0.0,0.9146517515182495,0.9823192358016968,1.063725471496582,1.063897967338562
2024-10-16 23:45:00+00:00,0.881,0.0,0.9155734777450562,0.979158341884613,1.063725471496582,1.063897967338562
2024-10-17 00:00:00+00:00,0.882,0.0,0.9164347648620605,0.9644539952278137,1.063725471496582,1.063897967338562
2024-10-17 00:15:00+00:00,0.883,0.0,0.9171841740608215,0.9662196040153503,1.063725471496582,1.063897967338562
2024-10-17 00:30:00+00:00,0.885,0.2,0.9182908535003662,0.9679840803146362,1.063725471496582,1.063897967338562
2024-10-17 00:45:00+00:00,0.886,0.0,0.9190911650657654,0.9633274674415588,1.063725471496582,1.063897967338562
2024-10-17 01:00:00+00:00,0.887,0.0,0.920336127281189,0.9686527848243713,1.063725471496582,1.063897967338562
2024-10-17 01:15:00+00:00,0.889,0.0,0.9211472868919373,0.9705453515052795,1.063725471496582,1.063897967338562
2024-10-17 01:30:00+00:00,0.89,0.2,0.9224832653999329,0.9721752405166626,1.063725471496582,1.063897967338562
2024-10-17 01:45:00+00:00,0.892,0.0,0.9302502274513245,0.9733635187149048,1.063725471496582,1.063897967338562
2024-10-17 02:00:00+00:00,0.895,0.0,0.9279175400733948,0.974901020526886,1.063725471496582,1.063897967338562
2024-10-17 02:15:00+00:00,0.897,0.0,0.9280297756195068,0.9764853715896606,1.0632920265197754,1.063897967338562
2024-10-17 02:30:00+00:00,0.899,0.0,0.929298460483551,0.9778407216072083,1.062873125076294,1.063897967338562
2024-10-17 02:45:00+00:00,0.901,0.0,0.937131404876709,0.9796133637428284,1.0609055757522583,1.063897967338562
2024-10-17 03:00:00+00:00,0.904,0.0,0.9370414614677429,0.9811499714851379,1.0605251789093018,1.063897967338562
2024-10-17 03:15:00+00:00,0.905,0.0,0.9331804513931274,0.9827492833137512,1.0592790842056274,1.063897967338562
2024-10-17 03:30:00+00:00,0.907,0.0,0.9350482225418091,0.9849963784217834,1.0899128913879395,1.063897967338562
2024-10-17 03:45:00+00:00,0.908,0.0,0.9369293451309204,0.9854203462600708,1.0722508430480957,1.063897967338562
