dateTime,average
2024-10-18 08:30:00+00:00,1.0227213584423065
2024-10-18 08:45:00+00:00,1.0215373343348504
2024-10-18 09:00:00+00:00,1.0202779797911643
2024-10-18 09:15:00+00:00,1.0189560513973235
2024-10-18 09:30:00+00:00,1.0175761074185372
2024-10-18 09:45:00+00:00,1.016140583598614
2024-10-18 10:00:00+00:00,1.0147446740150454
2024-10-18 10:15:00+00:00,1.0131731642842294
2024-10-18 10:30:00+00:00,1.0114241124868393
2024-10-18 10:45:00+00:00,1.0097083616018296
2024-10-18 11:00:00+00:00,1.0079329956412315
2024-10-18 11:15:00+00:00,1.0060977752923965
2024-10-18 11:30:00+00:00,1.0042069274187089
2024-10-18 11:45:00+00:00,1.0022693304300305
2024-10-18 12:00:00+00:00,1.000390512061119
2024-10-18 12:15:00+00:00,0.9984780677318573
2024-10-18 12:30:00+00:00,0.9964315629243851
2024-10-18 12:45:00+00:00,0.9942347294449805
2024-10-18 13:00:00+00:00,0.9921234334945679
2024-10-18 13:15:00+00:00,0.9900622356414794
2024-10-18 13:30:00+00:00,0.9878292514443399
2024-10-18 13:45:00+00:00,0.9855537035703659
2024-10-18 14:00:00+00:00,0.9831982100725174
2024-10-18 14:15:00+00:00,0.9807892261743546
2024-10-18 14:30:00+00:00,0.9784004041433334
2024-10-18 14:45:00+00:00,0.9760722638130188
2024-10-18 15:00:00+00:00,0.973811594748497
2024-10-18 15:15:00+00:00,0.971725694644451
2024-10-18 15:30:00+00:00,0.9697147137045858
2024-10-18 15:45:00+00:00,0.9677733417510985
2024-10-18 16:00:00+00:00,0.9658948640227318
2024-10-18 16:15:00+00:00,0.9639776777505875
2024-10-18 16:30:00+00:00,0.9621319699645042
2024-10-18 16:45:00+00:00,0.9603453929662704
2024-10-18 17:00:00+00:00,0.9587042087793349
2024-10-18 17:15:00+00:00,0.9572098982810974
2024-10-18 17:30:00+00:00,0.9557611251354217
2024-10-18 17:45:00+00:00,0.954370856332779
2024-10-18 18:00:00+00:00,0.9529418813705446
2024-10-18 18:15:00+00:00,0.9515575287342073
2024-10-18 18:30:00+00:00,0.9504332464575769
2024-10-18 18:45:00+00:00,0.9494324638128281
2024-10-18 19:00:00+00:00,0.9485957110643387
2024-10-18 19:15:00+00:00,0.9479871339321138
